,Nota_media_curso,Nota_media_selec,Val_profe,Val_compañeros,Val_propia,Val_padres,Val_direct,Eval_Alumno
0,8.02,9.17,6.58,9.85,6.32,9.27,4.85,Muy Buena
1,4.15,4.37,7.36,8.24,7.56,9.68,7.12,No Muy Mala
2,9.14,9.540000000000001,4.09,8.97,7.46,6.91,9.4,Muy Buena
3,8.36,9.709999999999999,3.82,7.72,8.81,5.71,7.46,Buena
4,7.4,8.77,5.82,7.67,7.01,9.42,5.3,Buena
5,4.02,4.039999999999999,9.27,9.45,8.95,6.2,8.56,No Muy Buena
6,9.06,9.84,4.23,7.5,9.79,6.92,4.77,Buena
7,9.75,11.34,8.69,8.07,7.2,5.62,6.24,Perfecta
8,7.15,7.470000000000001,7.71,9.59,7.84,5.85,9.41,Muy Buena
9,6.58,7.28,8.41,9.04,7.27,5.78,5.17,Buena
10,4.52,4.579999999999999,6.32,8.36,7.11,7.71,4.73,No Muy Mala
11,8.19,8.299999999999999,7.21,9.63,8.3,9.36,9.58,Muy Buena
12,8.98,9.440000000000001,3.76,7.39,6.73,7.38,5.18,Buena
13,6.06,6.51,7.04,8.94,9.66,7.66,6.15,Buena
14,8.4,8.790000000000001,4.12,8.43,7.62,8.01,5.01,Buena
15,4.56,5.6899999999999995,8.56,7.24,7.76,7.99,5.67,No Muy Buena
16,4.89,6.09,3.76,7.22,6.55,7.14,7.22,Mala
17,6.24,7.36,6.09,9.64,7.83,7.08,7.6,Buena
18,7.67,8.56,9.53,9.6,7.61,7.33,8.1,Muy Buena
19,8.56,9.75,8.2,8.08,6.25,7.33,4.78,Muy Buena
20,3.41,4.7700000000000005,9.42,7.81,9.77,8.62,8.06,No Muy Buena
21,7.18,8.19,8.28,9.85,7.25,6.64,5.57,Muy Buena
22,6.97,7.449999999999999,8.43,8.97,7.17,7.2,6.77,Muy Buena
23,6.33,7.48,6.43,9.21,9.24,6.92,5.36,Buena
24,8.33,9.05,7.77,8.1,9.59,7.35,7.27,Muy Buena
25,6.44,7.1000000000000005,3.67,8.28,7.05,5.66,9.69,No Muy Buena
26,5.98,7.5200000000000005,4.9,9.82,8.61,9.0,4.44,No Muy Buena
27,4.9,6.41,4.65,9.97,9.94,6.7,5.18,No Muy Mala
28,9.49,10.99,3.87,9.49,6.84,7.87,5.8,Muy Buena
29,5.06,6.489999999999999,6.95,7.38,7.74,8.33,7.1,No Muy Buena
30,7.5,7.7,7.58,7.91,9.87,5.8,8.11,Muy Buena
31,3.95,4.03,6.64,8.91,7.31,7.75,7.69,No Muy Mala
32,3.64,5.1,5.62,8.28,8.05,6.49,8.37,Mala
33,8.04,9.29,5.75,9.74,7.06,9.21,5.32,Muy Buena
34,8.59,9.53,4.92,9.53,6.63,6.74,9.49,Muy Buena
35,9.99,10.96,8.4,7.64,7.15,6.49,9.18,Perfecta
36,3.61,4.99,7.49,7.67,8.84,9.14,4.39,No Muy Mala
37,7.46,7.8,5.01,7.77,9.61,7.73,8.18,Buena
38,8.51,9.83,7.42,7.2,6.88,5.6,6.32,Muy Buena
39,8.88,9.680000000000001,4.86,7.87,8.65,6.08,9.62,Muy Buena
40,3.7,4.5,9.65,8.65,7.79,6.91,5.76,No Muy Buena
41,5.64,6.84,6.04,8.68,9.42,9.3,7.76,No Muy Buena
42,3.52,3.81,3.9,7.92,8.21,8.85,8.85,Mala
